q,precision,recall,f1,tp,fp,tn,fn
0.95,0.10031744899415038,0.10298236941835558,0.10163244288256712,5625,50447,1336651,48996
0.951,0.10169214271433505,0.10243313011479102,0.10206129149945276,5595,49424,1337674,49026
0.952,0.10346873319861324,0.10217681843979422,0.10281871775976417,5581,48358,1338740,49040
0.953,0.10529398428053205,0.10203035462551034,0.1036364819756576,5573,47355,1339743,49048
0.954,0.10701504598453072,0.10182896688087,0.10435761527276138,5562,46412,1340686,49059
0.955,0.10873405299313052,0.10142619139158932,0.10495306476210323,5540,45410,1341688,49081
0.956,0.11057317195158547,0.101188187693378,0.10567271475823567,5527,44458,1342640,49094
0.957,0.1119486833772548,0.10032771278446019,0.10582010582010581,5480,43471,1343627,49141
0.958,0.10695849246652957,0.09331575767561927,0.09967245172329504,5097,42557,1344541,49524
0.959,0.10897064192599275,0.09289467420955311,0.10029253636938647,5074,41489,1345609,49547
0.96,0.11140921885995778,0.09274821039526922,0.10122585995024627,5066,40406,1346692,49555
0.961,0.11331012018420757,0.09234543490598854,0.10175919948353775,5044,39471,1347627,49577
0.962,0.11552180416522839,0.09190604346313688,0.10236959092948325,5020,38435,1348663,49601
0.963,0.11727942046826544,0.09069771699529484,0.10228985567095455,4954,37287,1349811,49667
0.964,0.11916417038065318,0.08958093041138024,0.10227629021132502,4893,36168,1350930,49728
0.965,0.12175938681962778,0.08899507515424471,0.10283042816043324,4861,35062,1352036,49760
0.966,0.12478981814419123,0.08831768001318174,0.10343274941572504,4824,33833,1353265,49797
0.967,0.12879620446564988,0.08796982845425752,0.10453833434862066,4805,32502,1354596,49816
0.968,0.13275689501779359,0.08742058915069295,0.10542118800295842,4775,31193,1355905,49846
0.969,0.13674573929064948,0.08696288973105581,0.10631511800978098,4750,29986,1357112,49871
0.97,0.1407008246747447,0.08652349828820417,0.10715338397007143,4726,28863,1358235,49895
0.971,0.14521360392920027,0.08606579886856704,0.10807641906338368,4701,27672,1359426,49920
0.972,0.15051102397634505,0.0857362552864283,0.109243599463463,4683,26431,1360667,49938
0.973,0.1570167489007485,0.08564471540250088,0.11083469566659558,4678,25115,1361983,49943
0.974,0.16262721645157907,0.08513209205250728,0.11176004037782106,4650,23943,1363155,49971
0.975,0.16883925302087147,0.08441808095787334,0.11255812818103036,4611,22699,1364399,50010
0.976,0.17273216896206817,0.08220281576682961,0.11139366122929976,4490,21504,1365594,50131
0.977,0.17913622862647507,0.0817085003936215,0.11222732130508581,4463,20451,1366647,50158
0.978,0.1854624994741934,0.08071986964720529,0.11248309819629053,4409,19364,1367734,50212
0.979,0.191791077641256,0.07973123890078908,0.11263707841920133,4355,18352,1368746,50266
0.98,0.20056418793932668,0.07940169531865034,0.11376483703849433,4337,17287,1369811,50284
0.981,0.21007377009135766,0.07872430017758737,0.11452923158876015,4300,16169,1370929,50321
0.982,0.22029690167071847,0.07797367312938247,0.11517970630391865,4259,15074,1372024,50362
0.983,0.23095185512367492,0.07658226689368558,0.11502344190395006,4183,13929,1373169,50438
0.984,0.24414893617021277,0.07563025210084033,0.11548622468234997,4131,12789,1374309,50490
0.985,0.2616524070999872,0.07502608886691932,0.11661425949376093,4098,11564,1375534,50523
0.986,0.2760111576011158,0.07246297211695135,0.11478951871347573,3958,10382,1376716,50663
0.987,0.3008795411089866,0.07202358067409971,0.11622547861025763,3934,9141,1377957,50687
0.988,0.3269182704323919,0.07184050090624484,0.11779538904899135,3924,8079,1379019,50697
0.989,0.3547655754058221,0.07162080518481903,0.11918108700950523,3912,7115,1379983,50709
0.99,0.3903513161845661,0.0714011094633932,0.1207206091747663,3900,6091,1381007,50721
